,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD
"('MVTec-AD_pill', 0.01, 3)",,,,,,,
"('MVTec-AD_pill', 0.05, 1)",,,,,,,
"('MVTec-AD_pill', 0.05, 2)",,,,,,,
"('MVTec-AD_pill', 0.05, 3)",,,,,,,
"('MVTec-AD_pill', 0.1, 1)",,,,,,,
"('MVTec-AD_pill', 0.1, 2)",,,,,,,
"('MVTec-AD_pill', 0.1, 3)",,,,,,,
"('MVTec-AD_pill', 0.25, 1)",,,,,,,
"('MVTec-AD_pill', 0.25, 2)",,,,,,,
"('MVTec-AD_pill', 0.25, 3)",,,,,,,
"('MVTec-AD_pill', 0.5, 1)",,,,,,,
"('MVTec-AD_pill', 0.5, 2)",,,,,,,
"('MVTec-AD_pill', 0.5, 3)",,,,,,,
"('MVTec-AD_pill', 0.75, 1)",,,,,,,
"('MVTec-AD_pill', 0.75, 2)",,,,,,,
"('MVTec-AD_pill', 0.75, 3)",,,,,,,
"('MVTec-AD_pill', 1.0, 1)",,,,,,,
"('MVTec-AD_pill', 1.0, 2)",,,,,,,
"('MVTec-AD_pill', 1.0, 3)",,,,,,,
"('42_WBC', 0.0, 1)",,,,,,,
"('42_WBC', 0.0, 2)",,,,,,,
"('42_WBC', 0.0, 3)",,,,,,,
"('42_WBC', 0.01, 1)",,,,,,,
"('42_WBC', 0.01, 2)",,,,,,,
"('42_WBC', 0.01, 3)",,,,,,,
"('42_WBC', 0.05, 1)",,,,,,,
"('42_WBC', 0.05, 2)",,,,,,,
"('42_WBC', 0.05, 3)",,,,,,,
"('42_WBC', 0.1, 1)",,,,,,,
"('42_WBC', 0.1, 2)",,,,,,,
"('42_WBC', 0.1, 3)",,,,,,,
"('42_WBC', 0.25, 1)",,,,,,,
"('42_WBC', 0.25, 2)",,,,,,,
"('42_WBC', 0.25, 3)",,,,,,,
"('42_WBC', 0.5, 1)",,,,,,,
"('42_WBC', 0.5, 2)",,,,,,,
"('42_WBC', 0.5, 3)",,,,,,,
"('42_WBC', 0.75, 1)",,,,,,,
"('42_WBC', 0.75, 2)",,,,,,,
"('42_WBC', 0.75, 3)",,,,,,,
"('42_WBC', 1.0, 1)",,,,,,,
"('42_WBC', 1.0, 2)",,,,,,,
"('42_WBC', 1.0, 3)",,,,,,,
"('MVTec-AD_bottle', 0.0, 1)",,,,,,,
"('MVTec-AD_bottle', 0.0, 2)",,,,,,,
"('MVTec-AD_bottle', 0.0, 3)",,,,,,,
"('MVTec-AD_bottle', 0.01, 1)",,,,,,,
"('MVTec-AD_bottle', 0.01, 2)",,,,,,,
"('MVTec-AD_bottle', 0.01, 3)",,,,,,,
"('MVTec-AD_bottle', 0.05, 1)",,,,,,,
"('MVTec-AD_bottle', 0.05, 2)",,,,,,,
"('MVTec-AD_bottle', 0.05, 3)",,,,,,,
"('MVTec-AD_bottle', 0.1, 1)",,,,,,,
"('MVTec-AD_bottle', 0.1, 2)",,,,,,,
"('MVTec-AD_bottle', 0.1, 3)",,,,,,,
"('MVTec-AD_bottle', 0.25, 1)",,,,,,,
"('MVTec-AD_bottle', 0.25, 2)",,,,,,,
"('MVTec-AD_bottle', 0.25, 3)",,,,,,,
"('MVTec-AD_bottle', 0.5, 1)",,,,,,,
"('MVTec-AD_bottle', 0.5, 2)",,,,,,,
"('MVTec-AD_bottle', 0.5, 3)",,,,,,,
"('MVTec-AD_bottle', 0.75, 1)",,,,,,,
"('MVTec-AD_bottle', 0.75, 2)",,,,,,,
"('MVTec-AD_bottle', 0.75, 3)",,,,,,,
"('MVTec-AD_bottle', 1.0, 1)",,,,,,,
"('MVTec-AD_bottle', 1.0, 2)",,,,,,,
"('MVTec-AD_bottle', 1.0, 3)",,,,,,,
"('MVTec-AD_leather', 0.0, 1)",,,,,,,
"('MVTec-AD_leather', 0.0, 2)",,,,,,,
"('MVTec-AD_leather', 0.0, 3)",,,,,,,
"('MVTec-AD_leather', 0.01, 1)",,,,,,,
"('MVTec-AD_leather', 0.01, 2)",,,,,,,
"('MVTec-AD_leather', 0.01, 3)",,,,,,,
"('MVTec-AD_leather', 0.05, 1)",,,,,,,
"('MVTec-AD_leather', 0.05, 2)",,,,,,,
"('MVTec-AD_leather', 0.05, 3)",,,,,,,
"('MVTec-AD_leather', 0.1, 1)",,,,,,,
"('MVTec-AD_leather', 0.1, 2)",,,,,,,
"('MVTec-AD_leather', 0.1, 3)",,,,,,,
"('MVTec-AD_leather', 0.25, 1)",,,,,,,
"('MVTec-AD_leather', 0.25, 2)",,,,,,,
"('MVTec-AD_leather', 0.25, 3)",,,,,,,
"('MVTec-AD_leather', 0.5, 1)",,,,,,,
"('MVTec-AD_leather', 0.5, 2)",,,,,,,
"('MVTec-AD_leather', 0.5, 3)",,,,,,,
"('MVTec-AD_leather', 0.75, 1)",,,,,,,
"('MVTec-AD_leather', 0.75, 2)",,,,,,,
"('MVTec-AD_leather', 0.75, 3)",,,,,,,
"('MVTec-AD_leather', 1.0, 1)",,,,,,,
"('MVTec-AD_leather', 1.0, 2)",,,,,,,
"('MVTec-AD_leather', 1.0, 3)",,,,,,,
"('21_Lymphography', 0.0, 1)",,,,,,,
"('21_Lymphography', 0.0, 2)",,,,,,,
"('21_Lymphography', 0.0, 3)",,,,,,,
"('21_Lymphography', 0.01, 1)",,,,,,,
"('21_Lymphography', 0.01, 2)",,,,,,,
"('21_Lymphography', 0.01, 3)",,,,,,,
"('21_Lymphography', 0.05, 1)",,,,,,,
"('21_Lymphography', 0.05, 2)",,,,,,,
"('21_Lymphography', 0.05, 3)",,,,,,,
"('21_Lymphography', 0.1, 1)",,,,,,,
"('21_Lymphography', 0.1, 2)",,,,,,,
"('21_Lymphography', 0.1, 3)",,,,,,,
"('21_Lymphography', 0.25, 1)",,,,,,,
"('21_Lymphography', 0.25, 2)",,,,,,,
"('21_Lymphography', 0.25, 3)",,,,,,,
"('21_Lymphography', 0.5, 1)",,,,,,,
"('21_Lymphography', 0.5, 2)",,,,,,,
"('21_Lymphography', 0.5, 3)",,,,,,,
"('21_Lymphography', 0.75, 1)",,,,,,,
"('21_Lymphography', 0.75, 2)",,,,,,,
"('21_Lymphography', 0.75, 3)",,,,,,,
"('21_Lymphography', 1.0, 1)",,,,,,,
"('21_Lymphography', 1.0, 2)",,,,,,,
"('21_Lymphography', 1.0, 3)",,,,,,,
"('MVTec-AD_metal_nut', 0.0, 1)",,,,,,,
"('MVTec-AD_metal_nut', 0.0, 2)",,,,,,,
"('MVTec-AD_metal_nut', 0.0, 3)",,,,,,,
"('MVTec-AD_metal_nut', 0.01, 1)",,,,,,,
"('MVTec-AD_metal_nut', 0.01, 2)",,,,,,,
"('MVTec-AD_metal_nut', 0.01, 3)",,,,,,,
"('MVTec-AD_metal_nut', 0.05, 1)",,,,,,,
"('MVTec-AD_metal_nut', 0.05, 2)",,,,,,,
"('MVTec-AD_metal_nut', 0.05, 3)",,,,,,,
"('MVTec-AD_metal_nut', 0.1, 1)",,,,,,,
"('MVTec-AD_metal_nut', 0.1, 2)",,,,,,,
"('MVTec-AD_metal_nut', 0.1, 3)",,,,,,,
"('MVTec-AD_metal_nut', 0.25, 1)",,,,,,,
"('MVTec-AD_metal_nut', 0.25, 2)",,,,,,,
"('MVTec-AD_metal_nut', 0.25, 3)",,,,,,,
"('MVTec-AD_metal_nut', 0.5, 1)",,,,,,,
"('MVTec-AD_metal_nut', 0.5, 2)",,,,,,,
"('MVTec-AD_metal_nut', 0.5, 3)",,,,,,,
"('MVTec-AD_metal_nut', 0.75, 1)",,,,,,,
"('MVTec-AD_metal_nut', 0.75, 2)",,,,,,,
"('MVTec-AD_metal_nut', 0.75, 3)",,,,,,,
"('MVTec-AD_metal_nut', 1.0, 1)",,,,,,,
"('MVTec-AD_metal_nut', 1.0, 2)",,,,,,,
"('MVTec-AD_metal_nut', 1.0, 3)",,,,,,,
"('18_Ionosphere', 0.0, 1)",,,,,,,
"('18_Ionosphere', 0.0, 2)",,,,,,,
"('18_Ionosphere', 0.0, 3)",,,,,,,
"('18_Ionosphere', 0.01, 1)",,,,,,,
"('18_Ionosphere', 0.01, 2)",,,,,,,
"('18_Ionosphere', 0.01, 3)",,,,,,,
"('18_Ionosphere', 0.05, 1)",,,,,,,
"('18_Ionosphere', 0.05, 2)",,,,,,,
"('18_Ionosphere', 0.05, 3)",,,,,,,
"('18_Ionosphere', 0.1, 1)",,,,,,,
"('18_Ionosphere', 0.1, 2)",,,,,,,
"('18_Ionosphere', 0.1, 3)",,,,,,,
"('18_Ionosphere', 0.25, 1)",,,,,,,
"('18_Ionosphere', 0.25, 2)",,,,,,,
"('18_Ionosphere', 0.25, 3)",,,,,,,
"('18_Ionosphere', 0.5, 1)",,,,,,,
"('18_Ionosphere', 0.5, 2)",,,,,,,
"('18_Ionosphere', 0.5, 3)",,,,,,,
"('18_Ionosphere', 0.75, 1)",,,,,,,
"('18_Ionosphere', 0.75, 2)",,,,,,,
"('18_Ionosphere', 0.75, 3)",,,,,,,
"('18_Ionosphere', 1.0, 1)",,,,,,,
"('18_Ionosphere', 1.0, 2)",,,,,,,
"('18_Ionosphere', 1.0, 3)",,,,,,,
"('40_vowels', 0.0, 1)",,,,,,,
"('40_vowels', 0.0, 2)",,,,,,,
"('40_vowels', 0.0, 3)",,,,,,,
"('40_vowels', 0.01, 1)",,,,,,,
"('40_vowels', 0.01, 2)",,,,,,,
"('40_vowels', 0.01, 3)",,,,,,,
"('40_vowels', 0.05, 1)",,,,,,,
"('40_vowels', 0.05, 2)",,,,,,,
"('40_vowels', 0.05, 3)",,,,,,,
"('40_vowels', 0.1, 1)",,,,,,,
"('40_vowels', 0.1, 2)",,,,,,,
"('40_vowels', 0.1, 3)",,,,,,,
"('40_vowels', 0.25, 1)",,,,,,,
"('40_vowels', 0.25, 2)",,,,,,,
"('40_vowels', 0.25, 3)",,,,,,,
"('40_vowels', 0.5, 1)",,,,,,,
"('40_vowels', 0.5, 2)",,,,,,,
"('40_vowels', 0.5, 3)",,,,,,,
"('40_vowels', 0.75, 1)",,,,,,,
"('40_vowels', 0.75, 2)",,,,,,,
"('40_vowels', 0.75, 3)",,,,,,,
"('40_vowels', 1.0, 1)",,,,,,,
"('40_vowels', 1.0, 2)",,,,,,,
"('40_vowels', 1.0, 3)",,,,,,,
"('47_yeast', 0.0, 1)",,,,,,,
"('47_yeast', 0.0, 2)",,,,,,,
"('47_yeast', 0.0, 3)",,,,,,,
"('47_yeast', 0.01, 1)",,,,,,,
"('47_yeast', 0.01, 2)",,,,,,,
"('47_yeast', 0.01, 3)",,,,,,,
"('47_yeast', 0.05, 1)",,,,,,,
"('47_yeast', 0.05, 2)",,,,,,,
"('47_yeast', 0.05, 3)",,,,,,,
"('47_yeast', 0.1, 1)",,,,,,,
"('47_yeast', 0.1, 2)",,,,,,,
"('47_yeast', 0.1, 3)",,,,,,,
"('47_yeast', 0.25, 1)",,,,,,,
"('47_yeast', 0.25, 2)",,,,,,,
"('47_yeast', 0.25, 3)",,,,,,,
"('47_yeast', 0.5, 1)",,,,,,,
"('47_yeast', 0.5, 2)",,,,,,,
"('47_yeast', 0.5, 3)",,,,,,,
"('47_yeast', 0.75, 1)",,,,,,,
"('47_yeast', 0.75, 2)",,,,,,,
"('47_yeast', 0.75, 3)",,,,,,,
"('47_yeast', 1.0, 1)",,,,,,,
"('47_yeast', 1.0, 2)",,,,,,,
"('47_yeast', 1.0, 3)",,,,,,,
"('20news_5', 0.0, 1)",,,,,,,
"('20news_5', 0.0, 2)",,,,,,,
"('20news_5', 0.0, 3)",,,,,,,
"('20news_5', 0.01, 1)",,,,,,,
"('20news_5', 0.01, 2)",,,,,,,
"('20news_5', 0.01, 3)",,,,,,,
"('20news_5', 0.05, 1)",,,,,,,
"('20news_5', 0.05, 2)",,,,,,,
"('20news_5', 0.05, 3)",,,,,,,
"('20news_5', 0.1, 1)",,,,,,,
"('20news_5', 0.1, 2)",,,,,,,
"('20news_5', 0.1, 3)",,,,,,,
"('20news_5', 0.25, 1)",,,,,,,
"('20news_5', 0.25, 2)",,,,,,,
"('20news_5', 0.25, 3)",,,,,,,
"('20news_5', 0.5, 1)",,,,,,,
"('20news_5', 0.5, 2)",,,,,,,
"('20news_5', 0.5, 3)",,,,,,,
"('20news_5', 0.75, 1)",,,,,,,
"('20news_5', 0.75, 2)",,,,,,,
"('20news_5', 0.75, 3)",,,,,,,
"('20news_5', 1.0, 1)",,,,,,,
"('20news_5', 1.0, 2)",,,,,,,
"('20news_5', 1.0, 3)",,,,,,,
"('20_letter', 0.0, 1)",,,,,,,
"('20_letter', 0.0, 2)",,,,,,,
"('20_letter', 0.0, 3)",,,,,,,
"('20_letter', 0.01, 1)",,,,,,,
"('20_letter', 0.01, 2)",,,,,,,
"('20_letter', 0.01, 3)",,,,,,,
"('20_letter', 0.05, 1)",,,,,,,
"('20_letter', 0.05, 2)",,,,,,,
"('20_letter', 0.05, 3)",,,,,,,
"('20_letter', 0.1, 1)",,,,,,,
"('20_letter', 0.1, 2)",,,,,,,
"('20_letter', 0.1, 3)",,,,,,,
"('20_letter', 0.25, 1)",,,,,,,
"('20_letter', 0.25, 2)",,,,,,,
"('20_letter', 0.25, 3)",,,,,,,
"('20_letter', 0.5, 1)",,,,,,,
"('20_letter', 0.5, 2)",,,,,,,
"('20_letter', 0.5, 3)",,,,,,,
"('20_letter', 0.75, 1)",,,,,,,
"('20_letter', 0.75, 2)",,,,,,,
"('20_letter', 0.75, 3)",,,,,,,
"('20_letter', 1.0, 1)",,,,,,,
"('20_letter', 1.0, 2)",,,,,,,
"('20_letter', 1.0, 3)",,,,,,,
"('20news_4', 0.0, 1)",,,,,,,
"('20news_4', 0.0, 2)",,,,,,,
"('20news_4', 0.0, 3)",,,,,,,
"('20news_4', 0.01, 1)",,,,,,,
"('20news_4', 0.01, 2)",,,,,,,
"('20news_4', 0.01, 3)",,,,,,,
"('20news_4', 0.05, 1)",,,,,,,
"('20news_4', 0.05, 2)",,,,,,,
"('20news_4', 0.05, 3)",,,,,,,
"('20news_4', 0.1, 1)",,,,,,,
"('20news_4', 0.1, 2)",,,,,,,
"('20news_4', 0.1, 3)",,,,,,,
"('20news_4', 0.25, 1)",,,,,,,
"('20news_4', 0.25, 2)",,,,,,,
"('20news_4', 0.25, 3)",,,,,,,
"('20news_4', 0.5, 1)",,,,,,,
"('20news_4', 0.5, 2)",,,,,,,
"('20news_4', 0.5, 3)",,,,,,,
"('20news_4', 0.75, 1)",,,,,,,
"('20news_4', 0.75, 2)",,,,,,,
"('20news_4', 0.75, 3)",,,,,,,
"('20news_4', 1.0, 1)",,,,,,,
"('20news_4', 1.0, 2)",,,,,,,
"('20news_4', 1.0, 3)",,,,,,,
"('6_cardio', 0.0, 1)",,,,,,,
"('6_cardio', 0.0, 2)",,,,,,,
"('6_cardio', 0.0, 3)",,,,,,,
"('6_cardio', 0.01, 1)",,,,,,,
"('6_cardio', 0.01, 2)",,,,,,,
"('6_cardio', 0.01, 3)",,,,,,,
"('6_cardio', 0.05, 1)",,,,,,,
"('6_cardio', 0.05, 2)",,,,,,,
"('6_cardio', 0.05, 3)",,,,,,,
"('6_cardio', 0.1, 1)",,,,,,,
"('6_cardio', 0.1, 2)",,,,,,,
"('6_cardio', 0.1, 3)",,,,,,,
"('6_cardio', 0.25, 1)",,,,,,,
"('6_cardio', 0.25, 2)",,,,,,,
"('6_cardio', 0.25, 3)",,,,,,,
"('6_cardio', 0.5, 1)",,,,,,,
"('6_cardio', 0.5, 2)",,,,,,,
"('6_cardio', 0.5, 3)",,,,,,,
"('6_cardio', 0.75, 1)",,,,,,,
"('6_cardio', 0.75, 2)",,,,,,,
"('6_cardio', 0.75, 3)",,,,,,,
"('6_cardio', 1.0, 1)",,,,,,,
"('6_cardio', 1.0, 2)",,,,,,,
"('6_cardio', 1.0, 3)",,,,,,,
"('12_fault', 0.0, 1)",,,,,,,
"('12_fault', 0.0, 2)",,,,,,,
"('12_fault', 0.0, 3)",,,,,,,
"('12_fault', 0.01, 1)",,,,,,,
"('12_fault', 0.01, 2)",,,,,,,
"('12_fault', 0.01, 3)",,,,,,,
"('12_fault', 0.05, 1)",,,,,,,
"('12_fault', 0.05, 2)",,,,,,,
"('12_fault', 0.05, 3)",,,,,,,
"('12_fault', 0.1, 1)",,,,,,,
"('12_fault', 0.1, 2)",,,,,,,
"('12_fault', 0.1, 3)",,,,,,,
"('12_fault', 0.25, 1)",,,,,,,
"('12_fault', 0.25, 2)",,,,,,,
"('12_fault', 0.25, 3)",,,,,,,
"('12_fault', 0.5, 1)",,,,,,,
"('12_fault', 0.5, 2)",,,,,,,
"('12_fault', 0.5, 3)",,,,,,,
"('12_fault', 0.75, 1)",,,,,,,
"('12_fault', 0.75, 2)",,,,,,,
"('12_fault', 0.75, 3)",,,,,,,
"('12_fault', 1.0, 1)",,,,,,,
"('12_fault', 1.0, 2)",,,,,,,
"('12_fault', 1.0, 3)",,,,,,,
"('17_InternetAds', 0.0, 1)",,,,,,,
"('17_InternetAds', 0.0, 2)",,,,,,,
"('17_InternetAds', 0.0, 3)",,,,,,,
"('17_InternetAds', 0.01, 1)",,,,,,,
"('17_InternetAds', 0.01, 2)",,,,,,,
"('17_InternetAds', 0.01, 3)",,,,,,,
"('17_InternetAds', 0.05, 1)",,,,,,,
"('17_InternetAds', 0.05, 2)",,,,,,,
"('17_InternetAds', 0.05, 3)",,,,,,,
"('17_InternetAds', 0.1, 1)",,,,,,,
"('17_InternetAds', 0.1, 2)",,,,,,,
"('17_InternetAds', 0.1, 3)",,,,,,,
"('17_InternetAds', 0.25, 1)",,,,,,,
"('17_InternetAds', 0.25, 2)",,,,,,,
"('17_InternetAds', 0.25, 3)",,,,,,,
"('17_InternetAds', 0.5, 1)",,,,,,,
"('17_InternetAds', 0.5, 2)",,,,,,,
"('17_InternetAds', 0.5, 3)",,,,,,,
"('17_InternetAds', 0.75, 1)",,,,,,,
"('17_InternetAds', 0.75, 2)",,,,,,,
"('17_InternetAds', 0.75, 3)",,,,,,,
"('17_InternetAds', 1.0, 1)",,,,,,,
"('17_InternetAds', 1.0, 2)",,,,,,,
"('17_InternetAds', 1.0, 3)",,,,,,,
"('7_Cardiotocography', 0.0, 1)",,,,,,,
"('7_Cardiotocography', 0.0, 2)",,,,,,,
"('7_Cardiotocography', 0.0, 3)",,,,,,,
"('7_Cardiotocography', 0.01, 1)",,,,,,,
"('7_Cardiotocography', 0.01, 2)",,,,,,,
"('7_Cardiotocography', 0.01, 3)",,,,,,,
"('7_Cardiotocography', 0.05, 1)",,,,,,,
"('7_Cardiotocography', 0.05, 2)",,,,,,,
"('7_Cardiotocography', 0.05, 3)",,,,,,,
"('7_Cardiotocography', 0.1, 1)",,,,,,,
"('7_Cardiotocography', 0.1, 2)",,,,,,,
"('7_Cardiotocography', 0.1, 3)",,,,,,,
"('7_Cardiotocography', 0.25, 1)",,,,,,,
"('7_Cardiotocography', 0.25, 2)",,,,,,,
"('7_Cardiotocography', 0.25, 3)",,,,,,,
"('7_Cardiotocography', 0.5, 1)",,,,,,,
"('7_Cardiotocography', 0.5, 2)",,,,,,,
"('7_Cardiotocography', 0.5, 3)",,,,,,,
"('7_Cardiotocography', 0.75, 1)",,,,,,,
"('7_Cardiotocography', 0.75, 2)",,,,,,,
"('7_Cardiotocography', 0.75, 3)",,,,,,,
"('7_Cardiotocography', 1.0, 1)",,,,,,,
"('7_Cardiotocography', 1.0, 2)",,,,,,,
"('7_Cardiotocography', 1.0, 3)",,,,,,,
"('20news_2', 0.0, 1)",,,,,,,
"('20news_2', 0.0, 2)",,,,,,,
"('20news_2', 0.0, 3)",,,,,,,
"('20news_2', 0.01, 1)",,,,,,,
"('20news_2', 0.01, 2)",,,,,,,
"('20news_2', 0.01, 3)",,,,,,,
"('20news_2', 0.05, 1)",,,,,,,
"('20news_2', 0.05, 2)",,,,,,,
"('20news_2', 0.05, 3)",,,,,,,
"('20news_2', 0.1, 1)",,,,,,,
"('20news_2', 0.1, 2)",,,,,,,
"('20news_2', 0.1, 3)",,,,,,,
"('20news_2', 0.25, 1)",,,,,,,
"('20news_2', 0.25, 2)",,,,,,,
"('20news_2', 0.25, 3)",,,,,,,
"('20news_2', 0.5, 1)",,,,,,,
"('20news_2', 0.5, 2)",,,,,,,
"('20news_2', 0.5, 3)",,,,,,,
"('20news_2', 0.75, 1)",,,,,,,
"('20news_2', 0.75, 2)",,,,,,,
"('20news_2', 0.75, 3)",,,,,,,
"('20news_2', 1.0, 1)",,,,,,,
"('20news_2', 1.0, 2)",,,,,,,
"('20news_2', 1.0, 3)",,,,,,,
"('20news_1', 0.0, 1)",,,,,,,
"('20news_1', 0.0, 2)",,,,,,,
"('20news_1', 0.0, 3)",,,,,,,
"('20news_1', 0.01, 1)",,,,,,,
"('20news_1', 0.01, 2)",,,,,,,
"('20news_1', 0.01, 3)",,,,,,,
"('20news_1', 0.05, 1)",,,,,,,
"('20news_1', 0.05, 2)",,,,,,,
"('20news_1', 0.05, 3)",,,,,,,
"('20news_1', 0.1, 1)",,,,,,,
"('20news_1', 0.1, 2)",,,,,,,
"('20news_1', 0.1, 3)",,,,,,,
"('20news_1', 0.25, 1)",,,,,,,
"('20news_1', 0.25, 2)",,,,,,,
"('20news_1', 0.25, 3)",,,,,,,
"('20news_1', 0.5, 1)",,,,,,,
"('20news_1', 0.5, 2)",,,,,,,
"('20news_1', 0.5, 3)",,,,,,,
"('20news_1', 0.75, 1)",,,,,,,
"('20news_1', 0.75, 2)",,,,,,,
"('20news_1', 0.75, 3)",,,,,,,
"('20news_1', 1.0, 1)",,,,,,,
"('20news_1', 1.0, 2)",,,,,,,
"('20news_1', 1.0, 3)",,,,,,,
"('25_musk', 0.0, 1)",,,,,,,
"('25_musk', 0.0, 2)",,,,,,,
"('25_musk', 0.0, 3)",,,,,,,
"('25_musk', 0.01, 1)",,,,,,,
"('25_musk', 0.01, 2)",,,,,,,
"('25_musk', 0.01, 3)",,,,,,,
"('25_musk', 0.05, 1)",,,,,,,
"('25_musk', 0.05, 2)",,,,,,,
"('25_musk', 0.05, 3)",,,,,,,
"('25_musk', 0.1, 1)",,,,,,,
"('25_musk', 0.1, 2)",,,,,,,
"('25_musk', 0.1, 3)",,,,,,,
"('25_musk', 0.25, 1)",,,,,,,
"('25_musk', 0.25, 2)",,,,,,,
"('25_musk', 0.25, 3)",,,,,,,
"('25_musk', 0.5, 1)",,,,,,,
"('25_musk', 0.5, 2)",,,,,,,
"('25_musk', 0.5, 3)",,,,,,,
"('25_musk', 0.75, 1)",,,,,,,
"('25_musk', 0.75, 2)",,,,,,,
"('25_musk', 0.75, 3)",,,,,,,
"('25_musk', 1.0, 1)",,,,,,,
"('25_musk', 1.0, 2)",,,,,,,
"('25_musk', 1.0, 3)",,,,,,,
"('20news_0', 0.0, 1)",,,,,,,
"('20news_0', 0.0, 2)",,,,,,,
"('20news_0', 0.0, 3)",,,,,,,
"('20news_0', 0.01, 1)",,,,,,,
"('20news_0', 0.01, 2)",,,,,,,
"('20news_0', 0.01, 3)",,,,,,,
"('20news_0', 0.05, 1)",,,,,,,
"('20news_0', 0.05, 2)",,,,,,,
"('20news_0', 0.05, 3)",,,,,,,
"('20news_0', 0.1, 1)",,,,,,,
"('20news_0', 0.1, 2)",,,,,,,
"('20news_0', 0.1, 3)",,,,,,,
"('20news_0', 0.25, 1)",,,,,,,
"('20news_0', 0.25, 2)",,,,,,,
"('20news_0', 0.25, 3)",,,,,,,
"('20news_0', 0.5, 1)",,,,,,,
"('20news_0', 0.5, 2)",,,,,,,
"('20news_0', 0.5, 3)",,,,,,,
"('20news_0', 0.75, 1)",,,,,,,
"('20news_0', 0.75, 2)",,,,,,,
"('20news_0', 0.75, 3)",,,,,,,
"('20news_0', 1.0, 1)",,,,,,,
"('20news_0', 1.0, 2)",,,,,,,
"('20news_0', 1.0, 3)",,,,,,,
"('41_Waveform', 0.0, 1)",,,,,,,
"('41_Waveform', 0.0, 2)",,,,,,,
"('41_Waveform', 0.0, 3)",,,,,,,
"('41_Waveform', 0.01, 1)",,,,,,,
"('41_Waveform', 0.01, 2)",,,,,,,
"('41_Waveform', 0.01, 3)",,,,,,,
"('41_Waveform', 0.05, 1)",,,,,,,
"('41_Waveform', 0.05, 2)",,,,,,,
"('41_Waveform', 0.05, 3)",,,,,,,
"('41_Waveform', 0.1, 1)",,,,,,,
"('41_Waveform', 0.1, 2)",,,,,,,
"('41_Waveform', 0.1, 3)",,,,,,,
"('41_Waveform', 0.25, 1)",,,,,,,
"('41_Waveform', 0.25, 2)",,,,,,,
"('41_Waveform', 0.25, 3)",,,,,,,
"('41_Waveform', 0.5, 1)",,,,,,,
"('41_Waveform', 0.5, 2)",,,,,,,
"('41_Waveform', 0.5, 3)",,,,,,,
"('41_Waveform', 0.75, 1)",,,,,,,
"('41_Waveform', 0.75, 2)",,,,,,,
"('41_Waveform', 0.75, 3)",,,,,,,
"('41_Waveform', 1.0, 1)",,,,,,,
"('41_Waveform', 1.0, 2)",,,,,,,
"('41_Waveform', 1.0, 3)",,,,,,,
"('36_speech', 0.0, 1)",,,,,,,
"('36_speech', 0.0, 2)",,,,,,,
"('36_speech', 0.0, 3)",,,,,,,
"('36_speech', 0.01, 1)",,,,,,,
"('36_speech', 0.01, 2)",,,,,,,
"('36_speech', 0.01, 3)",,,,,,,
"('36_speech', 0.05, 1)",,,,,,,
"('36_speech', 0.05, 2)",,,,,,,
"('36_speech', 0.05, 3)",,,,,,,
"('36_speech', 0.1, 1)",,,,,,,
"('36_speech', 0.1, 2)",,,,,,,
"('36_speech', 0.1, 3)",,,,,,,
"('36_speech', 0.25, 1)",,,,,,,
"('36_speech', 0.25, 2)",,,,,,,
"('36_speech', 0.25, 3)",,,,,,,
"('36_speech', 0.5, 1)",,,,,,,
"('36_speech', 0.5, 2)",,,,,,,
"('36_speech', 0.5, 3)",,,,,,,
"('36_speech', 0.75, 1)",,,,,,,
"('36_speech', 0.75, 2)",,,,,,,
"('36_speech', 0.75, 3)",,,,,,,
"('36_speech', 1.0, 1)",,,,,,,
"('36_speech', 1.0, 2)",,,,,,,
"('36_speech', 1.0, 3)",,,,,,,
"('38_thyroid', 0.0, 1)",,,,,,,
"('38_thyroid', 0.0, 2)",,,,,,,
"('38_thyroid', 0.0, 3)",,,,,,,
"('38_thyroid', 0.01, 1)",,,,,,,
"('38_thyroid', 0.01, 2)",,,,,,,
"('38_thyroid', 0.01, 3)",,,,,,,
"('38_thyroid', 0.05, 1)",,,,,,,
"('38_thyroid', 0.05, 2)",,,,,,,
"('38_thyroid', 0.05, 3)",,,,,,,
"('38_thyroid', 0.1, 1)",,,,,,,
"('38_thyroid', 0.1, 2)",,,,,,,
"('38_thyroid', 0.1, 3)",,,,,,,
"('38_thyroid', 0.25, 1)",,,,,,,
"('38_thyroid', 0.25, 2)",,,,,,,
"('38_thyroid', 0.25, 3)",,,,,,,
"('38_thyroid', 0.5, 1)",,,,,,,
"('38_thyroid', 0.5, 2)",,,,,,,
"('38_thyroid', 0.5, 3)",,,,,,,
"('38_thyroid', 0.75, 1)",,,,,,,
"('38_thyroid', 0.75, 2)",,,,,,,
"('38_thyroid', 0.75, 3)",,,,,,,
"('38_thyroid', 1.0, 1)",,,,,,,
"('38_thyroid', 1.0, 2)",,,,,,,
"('38_thyroid', 1.0, 3)",,,,,,,
"('35_SpamBase', 0.0, 1)",,,,,,,
"('35_SpamBase', 0.0, 2)",,,,,,,
"('35_SpamBase', 0.0, 3)",,,,,,,
"('35_SpamBase', 0.01, 1)",,,,,,,
"('35_SpamBase', 0.01, 2)",,,,,,,
"('35_SpamBase', 0.01, 3)",,,,,,,
"('35_SpamBase', 0.05, 1)",,,,,,,
